degree,level,vertices,triangles,unknowns,pdas_iterations,kkt_residual,l2_error,h1_seminorm_error,minimum_sampled_solution,interface_triangles,residual_triangles,marked_triangles,active_f1,free_boundary_centroid_mean_error,free_boundary_centroid_max_error
3,0,49,72,289,4,4.440892098500626e-16,0.008617901747181361,0.2767611954848915,0.0,22,10,32,0.6338028169014084,0.06644586909498701,0.13572912430182496
3,1,81,136,577,6,8.326672684688674e-16,0.007300687158663024,0.2634098365814264,0.0,38,7,45,0.7069767441860465,0.055361684145982935,0.10394177193585
3,2,126,226,982,9,7.771561172376096e-16,0.0030840341889413697,0.1784163343670157,0.0,50,7,57,0.7521367521367521,0.036640404850200835,0.06455384127447186
3,3,183,340,1495,10,7.91033905045424e-16,0.002483857004487104,0.14345995849642942,0.0,74,10,84,0.7517241379310344,0.025809776661912188,0.04954732510288071
3,4,267,508,2251,10,8.326672684688674e-16,0.0017889678191854274,0.09895456622404965,0.0,119,4,123,0.7223476297968398,0.02154075515251208,0.035904364396132066
4,0,49,72,529,6,3.3306690738754696e-16,0.010184777317557538,0.18717286937124925,0.0,22,10,32,0.6666666666666666,0.06644586909498701,0.13572912430182496
4,1,81,136,1041,7,7.494005416219807e-16,0.003603978830298793,0.08368245148667929,0.0,38,4,42,0.7287671232876712,0.055361684145982935,0.10394177193585
4,2,123,220,1713,10,1.1102230246251565e-15,0.0007614374996738953,0.037483102873049186,0.0,49,4,53,0.7912621359223301,0.03625168388077571,0.06455384127447186
4,3,176,326,2561,10,8.187894806610529e-16,0.0008295340727821793,0.03618172840431151,0.0,73,4,77,0.8039215686274509,0.02561527801889364,0.04954732510288071
4,4,253,480,3793,11,1.2212453270876722e-15,0.0009698201133031438,0.04036063372954222,0.0,120,8,128,0.7581699346405228,0.021495865341402798,0.035904364396132066
