degree,level,vertices,triangles,unknowns,pdas_iterations,kkt_residual,l2_error,h1_seminorm_error,minimum_sampled_solution,marked_triangles,split_edges,prolongation_minimum_coefficient,prolongation_shared_dof_discrepancy,restriction_matrix_minimum_entry,restriction_reproduction_error
3,0,49,72,289,4,4.440892098500626e-16,0.008617901747181361,0.2767611954848915,0.0,32,17,-2.470789747109396e-16,3.3306690738754696e-16,-5.828670879282074e-16,4.440892098500626e-16
3,1,66,106,442,5,8.326672684688674e-16,0.005959477385124151,0.23928384856103285,0.0,39,24,-2.487220999982903e-16,2.7755575615628914e-16,-5.828670879282074e-16,2.220446049250313e-16
3,2,90,154,658,6,7.771561172376096e-16,0.00552674704741686,0.22616756076071334,0.0,57,33,-2.2250176770638026e-16,3.3306690738754696e-16,-5.828670879282074e-16,3.608224830031759e-16
3,3,123,220,955,7,1.2212453270876722e-15,0.0054197863775756455,0.22033677414168054,0.0,85,53,-2.676535751855366e-16,3.3306690738754696e-16,-5.828670879282074e-16,3.885780586188048e-16
3,4,176,323,1414,7,6.938893903907228e-16,0.004474103566499256,0.12791818444346575,0.0,95,57,-7.274596579066221e-18,3.3306690738754696e-16,-5.828670879282074e-16,2.7755575615628914e-16
3,5,233,437,1927,8,9.992007221626409e-16,0.004457880739604517,0.12579044697646094,0.0,136,80,-5.701798241032681e-17,3.3306690738754696e-16,-5.828670879282074e-16,3.3306690738754696e-16
3,6,313,596,2641,9,6.730727086790012e-16,0.004452126214681553,0.1250929751049629,0.0,181,113,-2.068611041424139e-16,4.440892098500626e-16,-5.828670879282074e-16,3.3306690738754696e-16
3,7,426,817,3628,10,1.304512053934559e-15,0.004404779606188247,0.11959793755459186,0.0,242,0,,,,
4,0,49,72,529,6,3.3306690738754696e-16,0.010184777317557538,0.18717286937124925,0.0,32,17,-2.0489472331962388e-17,1.1102230246251565e-16,-1.7270135938613546e-16,3.3306690738754696e-16
4,1,66,106,801,6,4.718447854656915e-16,0.004338461932973531,0.1015957066034074,0.0,38,24,-5.984467599976996e-19,1.1102230246251565e-16,-1.7270135938613546e-16,2.220446049250313e-16
4,2,90,154,1185,7,7.216449660063518e-16,0.004197657842022776,0.09728674085070939,0.0,54,36,-1.9732589910669891e-19,1.1102230246251565e-16,-1.7270135938613546e-16,1.6653345369377348e-16
4,3,126,226,1761,8,5.273559366969494e-16,0.004119930599834915,0.09580039201720021,0.0,71,50,-1.189137263129598e-19,1.1102230246251565e-16,-1.7270135938613546e-16,2.7755575615628914e-16
4,4,176,326,2561,9,6.661338147750939e-16,0.003162696457797752,0.07953830851541684,0.0,99,68,-6.486329989174976e-19,1.1102230246251565e-16,-1.7270135938613546e-16,3.885780586188048e-16
4,5,244,458,3609,11,9.159339953157541e-16,0.002156772816501467,0.06227153236277734,0.0,127,88,-1.4014016435253744e-18,1.1102230246251565e-16,-1.7270135938613546e-16,2.220446049250313e-16
4,6,332,634,5017,13,1.0824674490095276e-15,0.002055685988963216,0.06067272818982945,0.0,174,105,-3.119672043009646e-19,1.1102230246251565e-16,-1.7270135938613546e-16,2.220446049250313e-16
4,7,437,843,6687,14,1.6930901125533637e-15,0.0018580902544416665,0.05700591764800057,0.0,237,0,,,,
